PaperID,Title,Year,Venue,PublicationType,Category,RQ,TaxonomyLayer,VenueTier,RelevanceScore,ReferenceRole,AnchorType,MethodOrContribution,DatasetOrBenchmark,LanguageCoverage,Evaluation,MainFinding,Limitations,UseInReview,VerificationStatus,UseLevel
BD12,Efficient Adapter Transfer of Self-Supervised Speech Models for Automatic Speech Recognition,2022,Secondary source,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Adapter tuning,Secondary,4,HighValue,AdaptationStrategyAnchor,Adapter tuning for wav2vec/HuBERT-style ASR,Low-resource ASR settings,Low-resource ASR settings,ASR adaptation evaluation or method-level adaptation evidence,Adapters can adapt SSL speech models with fewer trainable parameters.,Primary venue not verified.,Adapter tuning support.,Verified-secondary-source,High-value-support
BD13,Continued Pretraining for Ainu Speech Recognition,2024,Secondary source,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Continued pretraining,Secondary,4,HighValue,AdaptationStrategyAnchor,Continued pretraining and related-language fine-tuning,Ainu or related-language low-resource ASR,Ainu or related-language low-resource ASR,ASR adaptation evaluation or method-level adaptation evidence,Continued pretraining may align models to target or related languages.,Secondary source; exact venue needs verification.,Continued pretraining support.,Verified-secondary-source,High-value-support
BD14,Continued Pretraining vs. Semi-Supervised Training for Low-Resource ASR,2024,Secondary source,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Continued pretraining,Secondary,4,HighValue,AdaptationStrategyAnchor,Continued pretraining versus pseudo-labeling bridge,Low-resource ASR settings,Low-resource ASR settings,ASR adaptation evaluation or method-level adaptation evidence,Continued pretraining and semi-supervised training are linked adaptation choices.,Main pseudo-labeling treatment belongs in Block E.,Bridge to Block E; in Block D use for continued pretraining vs SST comparison only.,Verified-secondary-source,High-value-support / Block E bridge
BD15,Acoustic Pseudo-Token Transfer Prediction for Low-Resource Speech Recognition,2024,Secondary source,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Related-language transfer,Secondary,4,HighValue,AdaptationStrategyAnchor,Donor-language selection for continued pretraining,Low-resource target languages with donor-language options,Low-resource target languages with donor-language options,ASR adaptation evaluation or method-level adaptation evidence,Donor-language selection can matter for continued pretraining transfer.,Secondary source; exact venue needs verification.,Related-language transfer support.,Verified-secondary-source,High-value-support
BD16,Parameter-Efficient Fine-Tuning of SeamlessM4T for Low-Resource ASR,2025,arXiv,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|LoRA,Watchlist,4,Watchlist,AdaptationStrategyAnchor,PEFT + text-only adaptation using multilingual multimodal model,Low-resource ASR tasks,Low-resource ASR tasks,ASR adaptation evaluation or method-level adaptation evidence,PEFT for SeamlessM4T is current but preprint-level.,Do not cite as peer-reviewed evidence.,Watchlist-current for multimodal PEFT.,Watchlist-ArXiv,Watchlist-current
BD17,S2-LoRA on Whisper for Automatic Speech Recognition,2025,arXiv,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|LoRA,Watchlist,4,Watchlist,AdaptationStrategyAnchor,ASR-specific LoRA adaptation,ASR adaptation tasks,ASR adaptation tasks,ASR adaptation evaluation or method-level adaptation evidence,ASR-specific Whisper LoRA is current but preprint-level.,Do not cite as peer-reviewed evidence.,Watchlist-current for ASR LoRA.,Watchlist-ArXiv,Watchlist-current
BD18,Soft Prompt Tuning for Whisper Code-Switching ASR,2025,arXiv,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Prompt tuning,Watchlist,4,Watchlist,AdaptationStrategyAnchor,Prompt-based Whisper adaptation,Code-switching ASR,Code-switching ASR,ASR adaptation evaluation or method-level adaptation evidence,Soft prompts can adapt Whisper behavior for code-switching ASR.,Preprint-level and task-specific.,Prompt-tuning watchlist.,Watchlist-ArXiv,Watchlist-current
BD19,Adapting Where It Matters: Depth-Aware Adaptation for Efficient Multilingual Speech Recognition in Low-Resource Languages,2026,arXiv 2026,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Depth-aware adaptation,Watchlist,4,Watchlist,AdaptationStrategyAnchor,Depth-aware adaptation for multilingual low-resource ASR,Low-resource multilingual ASR,Low-resource multilingual ASR,ASR adaptation evaluation or method-level adaptation evidence,Layer/depth selection is emerging for efficient ASR adaptation.,2026 preprint; not settled evidence.,Depth-aware adaptation watchlist.,Watchlist-ArXiv,Watchlist-current
BD20,SSVD-O: Parameter-Efficient Fine-Tuning with Structured SVD for Speech Recognition,2026,arXiv 2026,Preprint,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Structured-SVD adaptation,Watchlist,4,Watchlist,AdaptationStrategyAnchor,Structured SVD PEFT for ASR,ASR adaptation tasks,ASR adaptation tasks,ASR adaptation evaluation or method-level adaptation evidence,Structured SVD PEFT is emerging for ASR adaptation.,2026 preprint; not settled evidence.,Structured-SVD PEFT watchlist.,Watchlist-ArXiv,Watchlist-current
BD21,What happens in continued pre-training? Analysis of self-supervised speech models with continued pre-training for colloquial Finnish ASR,2024,Interspeech 2024,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Continued pretraining,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Continued pretraining analysis for colloquial Finnish ASR,Colloquial Finnish ASR,Finnish / colloquial domain,ASR after continued pretraining and adaptation,Continued pretraining can specialize multilingual SSL models for target-language/domain ASR.,Single language/domain case; generality needs cross-language comparison.,Use as primary evidence that continued pretraining can improve target-language/domain alignment for ASR when multilingual pretrained models are adapted to less-resourced conditions.,Verified-primary-source,Core-citable
BD22,Adapter pre-training for improved speech recognition in unseen domains using low resource adapter tuning of self-supervised models,2024,Interspeech 2024,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|Adapter pre-training / low-resource adapter tuning,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,Adapter pre-training and low-resource adapter tuning for SSL ASR models,Three datasets; 14 languages,14 languages including very low-resource languages,WER/CER after adapter tuning,Reports 10-30% relative WER/CER improvement with Viterbi decoding in 13 of 14 languages across 3 datasets; use as direct ASR evidence for adapter-based PEFT.,Needs comparison across more ASR foundation models.,"Use as direct ASR evidence for adapter-based parameter-efficient adaptation, unlike BD01 which is only a general method anchor; do not simplify the result to all languages improving.",Verified-primary-source,Core-citable
BD23,Learn and Don't Forget: Adding a New Language to ASR Foundation Models,2024,Interspeech 2024,ConferencePaper,Block D - Adaptation strategies for low-resource ASR,RQ4,Adaptation layer|New-language adaptation / forgetting control,Top-tier,5,CoreAnchor,AdaptationStrategyAnchor,"New-language adaptation with soft language-code tuning, prompt tuning, LoRA, EWC and fine-tuning",New-language adaptation for ASR foundation models,Typically low-resource new-language setting,Target-language ASR and retention of existing language capabilities,Direct fine-tuning can improve the new target language most but may degrade existing language capability; adaptation-parameter methods preserve existing language ability with a target-language performance trade-off.,Target-language performance versus retention trade-off remains unresolved.,"Use as primary evidence that full fine-tuning can improve the new target language but may degrade existing language capabilities, while adaptation-parameter methods preserve multilingual capability with a trade-off in target-language performance.",Verified-primary-source,Core-citable
